id,geometry,timestamp,dB,frequency,Spotter
1516979520,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 11:56:00",11,14058.3,K2PO/7
1516978625,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 11:55:00",9,14057.7,K2PO/7
1516974833,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 11:51:00",6,14058.3,N6WIN-7
1516989868,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 12:26:00",6,14058.3,WA7AI
1516993493,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 12:40:00",4,14058.3,N6WIN-7
1516993312,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 12:39:00",11,14058.3,K2PO/7
1516992202,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 12:34:00",5,14057.7,WA7AI
1516991933,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 12:33:00",12,14057.7,K2PO/7
1516991929,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 12:33:00",5,14057.6,N6WIN-7
1517012818,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 13:45:00",1,14057.7,W6YX
1517012715,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 13:45:00",10,14057.7,N6WIN-7
1517017140,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 14:03:00",5,14057.7,WA7AI
1517016892,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 14:03:00",2,14058.3,WA7AI
